DECLARED MAJOR/MINOR/CONCENTRATION COUNTS AS OF THE FALL SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,202430,,,202330,,,202230,,,202130,,,202030,,,201930,,,201830,,,201730,,,201630,,,201530,,,201430,,,201330,,,201230,,,201130,,,201030,,,200930,,
DEPT,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S
A&S,32,20,,41,27,,41,29,,40,40,,33,41,,44,22,,59,30,,55,26,,34,24,,25,19,,36,24,,38,20,,35,14,,50,19,,56,30,,41,31,
ART,22,18,,30,14,,31,18,,26,17,,23,10,,20,12,,18,14,,22,21,,20,22,,24,10,,24,15,,27,16,,22,22,,47,34,,33,32,,27,32,
BIOL,106,27,,130,23,,128,25,,105,24,,110,19,,118,25,,116,15,,99,16,,108,26,,111,22,,133,23,,133,25,,107,31,,152,50,,164,45,,166,42,
BUS,0,0,50,0,0,33,0,,34,0,0,62,0,1,96,0,2,110,10,30,109,28,57,72,63,64,22,85,71,,93,48,2,,,,,,,,,,,,,,,
CHEM,54,9,,73,9,,64,10,,41,9,,35,9,,38,7,,48,19,,44,16,,53,13,,41,4,,45,13,,67,25,,77,29,,104,29,,77,41,,80,29,
COMM/SPCH,96,49,,90,71,,79,56,,58,40,,67,34,,69,36,,66,45,,52,35,,55,26,,68,32,,79,35,,68,11,,52,9,,59,21,,71,21,,60,22,
E&M,153,18,,219,26,,166,23,,175,27,,166,30,,180,20,,142,36,,147,28,,134,21,,123,29,,118,33,,137,34,,105,44,,152,44,,193,50,,200,40,
EDUC,0,29,61,0,42,66,0,34,87, -,24,65, -,29,55, -,28,69, -,20,59, -,13,65,,7,48, --,8,39, -- ,10,44,n/a,2,52,0,0,72,0,0,101,0,0,111,0,0,77
ENGL,46,15,,61,14,,65,11,,60,11,,53,12,,69,18,,73,13,,70,12,,57,10,,48,12,,60,15,,64,11,,54,6,,64,26,,90,31,,94,38,
ENVN,32,4,,37,3,,33,,,19,0,3,12,0,8,17,0,6,21,0,2,19,0,2,15,,4,9,,9,7,0,10,3,0,10,,,,,,,,,,,,
GEOL,17,17,,20,19,,23,19,,21,13,,17,15,,23,19,,20,20,,16,17,,12,14,,20,15,,23,15,,28,16,,29,19,,39,25,,34,19,,18,15,
HIST,36,14,,40,13,,35,18,,39,23,,39,22,,37,21,,33,15,,17,21,,17,20,,21,15,,19,16,,25,20,,35,19,,57,19,,64,32,,62,26,
INTN,3,1,,8,2,,8,2,,6,6,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIN/PHED,117,14,,135,14,,126,15,,112,11,,95,9,,85,11,,73,17,,75,6,,67,8,,67,6,,70,0,,62,6,,60,10,,74,24,,89,24,,79,26,
MATH/CS,59,46,,66,47,,54,43,,37,27,,29,20,,35,22,,23,27,,27,27,,26,28,,25,27,,23,15,,20,10,,24,13,,30,10,,33,12,,20,16,
MLAC/FRNL,19,19,,21,23,,29,33,,34,44,,44,36,,41,39,,30,41,,34,30,,35,33,,29,37,,26,49,,20,39,,25,36,,46,37,,60,45,,50,27,
MUS,19,3,,23,4,,22,7,,26,7,,24,5,,28,6,,29,4,,27,6,,32,3,,33,4,,34,4,,46,4,,44,5,,37,5,,54,8,,43,12,
PHIL,5,11,,9,15,,11,15,,6,12,,7,11,,9,9,,11,5,,14,11,,12,8,,16,11,,11,17,,15,15,,19,16,,26,13,,20,18,,22,10,
PHYS,15,1,,17,1,,25,1,,19,0,,19,2,,23,2,,18,1,,22,3,,29,3,,28,2,,29,2,,18,2,,13,5,,14,5,,22,5,,10,2,
PLSC,34,10,,45,15,,39,11,,49,10,,45,10,,45,4,,42,5,,38,8,,29,5,,31,9,,33,12,,30,7,,30,5,,50,15,,69,19,,68,13,
PSYC,116,46,,132,55,,124,55,,116,64,,113,46,,105,50,,98,60,,84,58,,88,46,,96,43,,102,49,,92,39,,114,34,,106,50,,131,68,,135,58,
RELG,4,5,,5,8,,5,10,,6,8,,6,10,,11,8,,12,13,,4,19,,8,12,,7,9,,6,9,,13,10,,16,9,,15,22,,21,24,,14,14,
SPEC,18,6,35,18,8,38,24,3,50,28,7,96,28,7,115,56,8,138,47,12,144,42,4,165,29,8,94,32,0,105,45,0,149,34,19,196,30,6,274,47,5,368,68,12,354,51,7,344
THEA,13,7,,20,7,,13,9,,18,7,,14,9,,17,11,,11,12,,11,5,,9,6,,7,8,,12,2,,13,1,,11,5,,9,3,,10,8,,11,9,
WGS,3,3,,0,5,,0,10,,4,4,,2,3,,2,1,,0,1,,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200830,,,200730,,,200630,,,200530,,,200430,,,200330,,,200230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPT,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,MAJORS,MINORS,CONC'S,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&S,44,13,,56,21,,57,14,,42,24,,38,15,,40,16,,30,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART,27,18,,34,20,,44,27,,39,32,,42,23,,45,25,,37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
