,GRAD DATA: MAJORS 2008-09 thru 2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M1 = First Major   M2 = Second Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAD YEAR = SUMMER-DEC-APRIL/MAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-2024 GRADUATES,,,,2022-2023 GRADUATES,,,,2021-2022 GRADUATES,,,,2020-2021 GRADUATES,,,,2019-2020 GRADUATES,,,,2018-2019 GRADUATES,,,,2017-2018 GRADUATES,,,,2016-2017 GRADUATES,,,,2015-2016 GRADUATES,,,,2014-2015 GRADUATES,,,,2013-2014 GRADUATES,,,,2012-2013 GRADUATES,,,,2011-2012 GRADUATES,,,,2010-2011 GRADUATES,,,,2009-2010 GRADUATES,,,,2008-09 GRADUATES,,
,MAJOR,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTALS
,Accounting-C.P.A. Emphasis,4,0,4,,10,0,10,,8,0,8,,17,0,17,,12,0,12,,24,1,25,,12,1,13,,10,1,11,,7,4,11,,9,2,11,,2,0,2,,,,,,,,,,,,,,,,,,,,
,Accounting-Corporate Emphasis,1,0,1,,0,0,0,,1,0,1,,1,0,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,2,0,2,,,,,,,,,,,,,,,,,,,,
,Anthropology,1,0,1,,3,4,7,,4,1,5,,5,1,6,,4,2,6,,8,2,10,,3,0,3,,3,1,4,,1,1,2,,2,0,2,,3,4,7,,4,2,6,,6,2,8,,2,2,4,,10,1,11,,6,3,9
,Anthropology/Sociology,3,0,3,,4,1,5,,2,0,2,,3,0,3,,1,0,1,,3,1,4,,3,1,4,,2,0,2,,1,1,2,,6,0,6,,4,1,5,,2,2,4,,9,1,10,,8,1,9,,5,1,6,,1,0,1
,Art,5,1,6,,4,0,4,,6,1,7,,3,0,3,,6,0,6,,3,2,5,,5,3,8,,4,0,4,,6,1,7,,8,0,8,,4,1,5,,2,1,3,,3,1,4,,6,1,7,,5,0,5,,4,0,4
,Art History,3,0,3,,1,0,1,,0,2,2,,0,1,1,,0,0,0,,1,0,1,,3,2,5,,1,0,1,,0,0,0,,3,2,5,,2,1,3,,1,0,1,,4,1,5,,3,0,3,,3,1,4,,1,1,2
,Art/Bach Fine Arts,1,0,1,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,1,0,1,,0,0,0,,2,0,2,,0,0,0,,0,0,0,,0,0,0,,2,0,2,,1,0,1,,0,0,0,,1,0,1,,1,0,1
,Biology,25,2,27,,34,1,35,,29,1,30,,43,2,45,,33,1,34,,34,2,36,,36,1,37,,35,2,37,,38,3,41,,31,1,32,,41,3,44,,29,5,34,,54,3,57,,53,2,55,,52,3,55,,50,2,52
,Biology: Secondary Educ,0,0,0,,0,0,0,,1,0,1,,1,0,1,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,3,0,3,,0,0,0,,1,0,1,,1,1,2,,0,0,0
,Biochemistry,12,1,13,,10,0,10,,8,0,8,,9,0,9,,7,1,8,,7,0,7,,6,1,7,,9,0,9,,8,0,8,,11,1,12,,21,0,21,,,,,,,,,,,,,,,,,,,,
,Business  ,13,0,13,,10,1,11,,13,0,13,,9,0,9,,6,2,8,,3,1,4,,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business & Organizations,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,7,3,10,,7,1,8,,18,2,20,,29,1,30,,14,4,18,,1,0,1,,,,,,,,,,,,,,,,,,,,
,Chemistry,3,0,3,,1,0,1,,2,0,2,,2,0,2,,4,0,4,,4,0,4,,5,0,5,,5,1,6,,3,0,3,,4,1,5,,11,0,11,,5,0,5,,6,0,6,,5,0,5,,7,0,7,,8,1,9
,Chemistry - Biochemistry,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,17,0,17,,22,1,23,,18,2,20,,19,1,20,,14,2,16
,Combined Course:Physics,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3,0,3,,0,0,0,,0,0,0,,0,0,0,,3,0,3,,4,0,4,,4,0,4,,1,0,1,,2,0,2,,3,0,3
,Combined Engineering - Physics,1,1,2,,2,0,2,,1,0,1,,6,0,6,,7,0,7,,5,0,5,,0,0,0,,5,1,6,,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Communication Studies General,11,5,16,,11,5,16,,9,4,13,,28,3,31,,22,4,26,,18,4,22,,16,6,22,,19,6,25,,15,2,17,,12,2,14,,14,3,17,,8,1,9,,11,5,16,,12,5,17,,15,1,16,,13,3,16
,Communication-Interpersonal,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,2,,1,0,1,,3,0,3,,0,0,0,,0,0,0,,1,1,2,,1,1,2,,3,2,5
,Communication-Mass Media,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4,0,4,,6,4,10,,9,0,9,,8,0,8,,6,1,7,,9,0,9,,8,1,9,,5,0,5,,7,2,9
,Communication-Organizational,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,3,0,3,,3,0,3,,1,0,1,,2,0,2,,1,0,1,,5,0,5,,2,1,3,,0,3,3,,4,1,5
,Communication-Pro.Comm.& Prod.,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,1,2,,1,0,1,,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Computer Science,3,0,3,,1,0,1,,1,1,2,,2,2,4,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,2,2,4,,5,1,6,,2,0,2,,3,1,4
,E&M emphasis Accounting,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,1,1,,14,0,14,,13,0,13,,18,0,18,,9,0,9,,8,1,9,,n/a,n/a,n/a
,E&M emphasis Economics,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,3,0,3,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,n/a,n/a,n/a
,E&M emphasis Finance,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,2,,3,0,3,,7,1,8,,5,0,5,,3,0,3,,2,0,2,,n/a,n/a,n/a
,E&M emphasis General Business,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,4,0,4,,1,0,1,,1,0,1,,2,1,3,,4,0,4,,3,0,3,,1,0,1,,0,0,0,,n/a,n/a,n/a
,E&M emphasis International Bus,1,0,1,,4,0,4,,0,0,0,,1,0,1,,1,0,1,,1,0,1,,0,0,0,,1,1,2,,0,0,0,,1,1,2,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,n/a,n/a,n/a
,E&M emphasis Human Resources,0,0,0,,2,0,2,,2,0,2,,0,0,0,,1,0,1,,1,0,1,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,2,0,2,,1,0,1,,1,0,1,,n/a,n/a,n/a
,Earth Science,0,0,0,,2,0,2,,2,0,2,,0,0,0,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0
,Earth Science - Secondary Education,0,0,0,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economics  ,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economics & Management,10,0,10,,11,1,12,,13,0,13,,32,1,33,,22,3,25,,17,2,19,,17,5,22,,16,5,21,,7,2,9,,15,5,20,,13,7,20,,21,5,26,,43,3,46,,61,8,69,,68,5,73,,94,5,99
,English,4,0,4,,8,0,8,,9,2,11,,9,2,11,,7,1,8,,5,2,7,,6,3,9,,5,1,6,,2,2,4,,2,0,2,,10,2,12,,11,3,14,,4,1,5,,20,4,24,,17,5,22,,18,7,25
,English  With Creative Writing,3,1,4,,3,0,3,,3,0,3,,5,3,8,,6,0,6,,6,1,7,,3,1,4,,5,1,6,,5,1,6,,5,5,10,,4,3,7,,8,0,8,,5,1,6,,7,2,9,,11,1,12,,15,2,17
,English - Professional Writing,0,0,0,,0,1,1,,0,2,2,,1,3,4,,3,0,3,,2,1,3,,2,0,2,,2,1,3,,0,0,0,,1,2,3,,1,0,1,,,,,,,,,,,,,,,,,,,,
,English: Elementary Educ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4,0,4,,2,0,2,,0,0,0,,5,0,5,,3,0,3,,3,0,3
,English: Secondary Educ,3,0,3,,4,0,4,,1,0,1,,0,0,0,,3,0,3,,3,0,3,,3,0,3,,1,0,1,,0,0,0,,6,0,6,,1,0,1,,5,0,5,,6,0,6,,2,0,2,,4,0,4,,5,0,5
,English Lang. Arts- Elem. Educ,2,0,2,,4,0,4,,4,0,4,,6,0,6,,4,0,4,,5,0,5,,4,0,4,,2,0,2,,2,0,2,,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental Science,1,0,1,,3,0,3,,2,0,2,,1,0,1,,0,0,0,,0,0,0,,2,0,2,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental Studies,2,2,4,,2,0,2,,0,1,1,,2,2,4,,2,3,5,,3,2,5,,3,0,3,,3,0,3,,1,0,1,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,Finance,13,0,13,,15,1,16,,21,1,22,,8,0,8,,17,1,18,,16,0,16,,19,1,20,,12,1,13,,6,6,12,,2,0,2,,2,0,2,,,,,,,,,,,,,,,,,,,,
,French,0,0,0,,1,0,1,,2,2,4,,2,1,3,,1,3,4,,1,1,2,,0,1,1,,3,0,3,,0,0,0,,2,1,3,,0,0,0,,2,4,6,,1,1,2,,3,1,4,,5,1,6,,4,2,6
,French Lng. & Cult. for Prof.,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,1,1
,French: Secondary Education,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0
,Geological/Earth Sciences,2,2,4,,6,0,6,,6,0,6,,4,1,5,,5,0,5,,2,0,2,,4,0,4,,3,0,3,,7,0,7,,7,0,7,,4,2,6,,3,2,5,,1,0,1,,0,0,0,,0,0,0,,0,0,0
,Geological Sciences - Track G,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,2,1,3,,6,0,6,,2,0,2,,4,0,4,,4,1,5,,5,0,5
,Geological Sciences - Track L,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,2,1,3,,1,0,1,,0,1,1,,3,0,3
,German,0,0,0,,1,1,2,,0,1,1,,1,0,1,,1,2,3,,2,0,2,,1,2,3,,2,1,3,,1,0,1,,0,1,1,,3,2,5,,1,3,4,,2,2,4,,1,1,2,,0,1,1,,3,0,3
,German Lng. & Cult. for Prof.,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,2,,0,1,1,,0,1,1,,0,0,0,,1,0,1
,German: Elementary Education,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1
,History,4,3,7,,3,7,10,,9,11,20,,10,3,13,,4,6,10,,3,6,9,,5,3,8,,4,3,7,,4,3,7,,5,4,9,,5,5,10,,14,3,17,,15,8,23,,9,6,15,,11,8,19,,22,7,29
,History: Elementary Education,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,1,0,1,,0,0,0,,1,0,1,,2,0,2
,History: Secondary Education,0,0,0,,2,0,2,,2,1,3,,0,0,0,,2,0,2,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,2,0,2,,3,0,3,,3,0,3,,4,0,4,,4,0,4,,2,0,2
,IDV-Individualized,4,0,4,,1,0,1,,1,1,2,,5,1,6,,2,0,2,,3,0,3,,2,0,2,,0,0,0,,4,0,4,,0,0,0,,7,0,7,,10,2,12,,5,0,5,,1,2,3,,4,0,4,,2,2,4
,IDY- Ethnic Studies,1,0,1,,1,0,1,,1,2,3,,1,0,1,,2,3,5,,0,1,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,4,4,,2,3,5,,1,0,1,,2,0,2,,0,2,2
,IDY-American Studies,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0
,IDY-Gender Studies,1,0,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,2,3,,0,0,0
,IDY-International Studies,1,0,1,,0,4,4,,3,0,3,,3,5,8,,2,1,3,,3,1,4,,0,2,2,,1,4,5,,1,4,5,,3,1,4,,2,4,6,,5,2,7,,3,2,5,,8,2,10,,3,5,8,,5,0,5
,IDY-Math/Economics,1,0,1,,0,0,0,,0,0,0,,1,0,1,,3,0,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,2,,2,0,2,,0,0,0,,0,0,0
,IDY-Math/Physics,0,0,0,,0,0,0,,3,1,4,,0,2,2,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,
