Department,Term,Average Class Size
A&S,2002-Fall,20.7
A&S,2003-Spring,23.7
A&S,2003-Fall,20.8
A&S,2004-Spring,23.2
A&S,2004-Fall,21.4
A&S,2005-Spring,21.1
A&S,2005-Fall,22.3
A&S,2006-Spring,19.3
A&S,2006-Fall,24.9
A&S,2007-Spring,20.3
A&S,2007-Fall,21.4
A&S,2008-Spring,23.4
A&S,2008-Fall,22.5
A&S,2009-Spring,19.6
A&S,2009-Fall,27.2
A&S,2010-Spring,24.0
A&S,2010-Fall,25.5
A&S,2011-Spring,23.0
A&S,2011-Fall,22.8
A&S,2012-Fall,18.7
A&S,2013-Fall,16.9
A&S,2014-Fall,18.8
A&S,2015-Fall,21.2
A&S,2018-Fall,-
ANTH,2016-Fall,22.2
ANTH,2017-Fall,22.0
ANTH,2018-Fall,28.0
ANTH,2019-Fall,20.5
ANTH,2020-Fall,18.1
ANTH,2021-Fall,21.5
ANTH,2022-Fall,22.5
ANTH,2023-Fall,19.6
SOC,2016-Fall,24.1
SOC,2017-Fall,27.4
SOC,2018-Fall,22.3
SOC,2019-Fall,20.0
SOC,2020-Fall,19.4
SOC,2021-Fall,20.9
SOC,2022-Fall,25.2
SOC,2023-Fall,20.1
ART/ARTH,2002-Fall,13.8
ART/ARTH,2003-Spring,16.9
ART/ARTH,2003-Fall,16.6
ART/ARTH,2004-Spring,18.1
ART/ARTH,2004-Fall,15.3
ART/ARTH,2005-Spring,17.3
ART/ARTH,2005-Fall,11.9
ART/ARTH,2006-Spring,14.0
ART/ARTH,2006-Fall,13.3
ART/ARTH,2007-Spring,13.0
ART/ARTH,2007-Fall,13.9
ART/ARTH,2008-Spring,12.5
ART/ARTH,2008-Fall,9.8
ART/ARTH,2009-Spring,8.8
ART/ARTH,2009-Fall,15.4
ART/ARTH,2010-Spring,12.8
ART/ARTH,2010-Fall,13.5
ART/ARTH,2011-Spring,13.5
ART/ARTH,2011-Fall,11.2
ART/ARTH,2012-Fall,9.6
ART/ARTH,2013-Fall,10.8
ART/ARTH,2014-Fall,9.4
ART/ARTH,2015-Fall,16.1
ART/ARTH,2018-Fall,-
ART,2016-Fall,11.2
ART,2017-Fall,12.4
ART,2018-Fall,14.2
ART,2019-Fall,9.9
ART,2020-Fall,13.8
ART,2021-Fall,11.4
ART,2022-Fall,14.4
ART,2023-Fall,14.1
ARTH,2016-Fall,16.5
ARTH,2017-Fall,22.2
ARTH,2018-Fall,21.6
ARTH,2019-Fall,17.3
ARTH,2020-Fall,20.0
ARTH,2021-Fall,17.3
ARTH,2022-Fall,16.8
ARTH,2023-Fall,13.0
BIOL,2002-Fall,19.6
BIOL,2003-Spring,24.9
BIOL,2003-Fall,20.2
BIOL,2004-Spring,20.3
BIOL,2004-Fall,21.1
BIOL,2005-Spring,20.7
BIOL,2005-Fall,22.1
BIOL,2006-Spring,22.0
BIOL,2006-Fall,19.6
BIOL,2007-Spring,18.4
BIOL,2007-Fall,21.9
BIOL,2008-Spring,20.5
BIOL,2008-Fall,22.9
BIOL,2009-Spring,20.7
BIOL,2009-Fall,26.3
BIOL,2010-Spring,25.1
BIOL,2010-Fall,24.0
BIOL,2011-Spring,23.3
BIOL,2011-Fall,26.8
BIOL,2012-Fall,20.3
BIOL,2013-Fall,21.1
BIOL,2014-Fall,21.9
BIOL,2015-Fall,22.1
BIOL,2016-Fall,22.6
BIOL,2017-Fall,24.2
BIOL,2018-Fall,23.5
BIOL,2019-Fall,22.7
BIOL,2020-Fall,16.9
BIOL,2021-Fall,19.1
BIOL,2022-Fall,17.2
BIOL,2023-Fall,21.3
CHEM,2002-Fall,21.1
CHEM,2003-Spring,24.2
CHEM,2003-Fall,19.0
CHEM,2004-Spring,20.4
CHEM,2004-Fall,21.8
CHEM,2005-Spring,23.5
CHEM,2005-Fall,19.9
CHEM,2006-Spring,24.6
CHEM,2006-Fall,24.0
CHEM,2007-Spring,22.0
CHEM,2007-Fall,19.6
CHEM,2008-Spring,26.6
CHEM,2008-Fall,22.2
CHEM,2009-Spring,24.8
CHEM,2009-Fall,25.3
CHEM,2010-Spring,27.4
CHEM,2010-Fall,23.2
CHEM,2011-Spring,25.6
CHEM,2011-Fall,22.1
CHEM,2012-Fall,21.6
CHEM,2013-Fall,19.4
CHEM,2014-Fall,19.8
CHEM,2015-Fall,12.4
CHEM,2016-Fall,23.1
CHEM,2017-Fall,17.4
CHEM,2018-Fall,16.1
CHEM,2019-Fall,14.4
CHEM,2020-Fall,11.4
CHEM,2021-Fall,14.7
