Department,Appointment Type,Year,Count
A&S,Tenured,FALL 2023,3.00
A&S,Tenured,FALL 2022,2.00
A&S,Tenured,FALL 2021,3.16
A&S,Tenured,FALL 2020,2.00
A&S,Tenured,FALL 2019,2.00
A&S,Tenured,FALL 2018,3.00
A&S,Tenured,FALL 2017,2.00
A&S,Tenured,FALL 2016,2.00
A&S,Tenured,FALL 2015,2.00
A&S,Tenured,FALL 2014,0.66
A&S,Tenured,FALL 2013,1.00
A&S,Tenured,FALL 2012,2.00
A&S,Tenured,FALL 2011,0.66
A&S,Tenured,FALL 2010,3.66
A&S,Tenured,FALL 2009,3.00
A&S,Tenured,FALL 2008,2.00
A&S,Tenured,FALL 2007,2.83
A&S,Tenured,FALL 2006,2.66
A&S,Tenured,FALL 2005,2.67
A&S,Tenured,FALL 2004,2.67
A&S,Tenured,FALL 2003,3.33
A&S,Tenured,FALL 2002,2.33
A&S,Tenured,FALL 2001,3.67
A&S,Tenure-Track,FALL 2023,0.00
A&S,Tenure-Track,FALL 2022,1.67
A&S,Tenure-Track,FALL 2021,3.08
A&S,Tenure-Track,FALL 2020,3.33
A&S,Tenure-Track,FALL 2019,3.00
A&S,Tenure-Track,FALL 2018,3.00
A&S,Tenure-Track,FALL 2017,3.00
A&S,Tenure-Track,FALL 2016,3.00
A&S,Tenure-Track,FALL 2015,2.00
A&S,Tenure-Track,FALL 2014,3.00
A&S,Tenure-Track,FALL 2013,2.00
A&S,Tenure-Track,FALL 2012,1.00
A&S,Tenure-Track,FALL 2011,1.00
A&S,Tenure-Track,FALL 2010,1.00
A&S,Tenure-Track,FALL 2009,1.00
A&S,Tenure-Track,FALL 2008,1.00
A&S,Tenure-Track,FALL 2007,1.66
A&S,Tenure-Track,FALL 2006,1.00
A&S,Tenure-Track,FALL 2005,1.67
A&S,Tenure-Track,FALL 2004,1.00
A&S,Tenure-Track,FALL 2003,0.00
A&S,Tenure-Track,FALL 2002,1.00
A&S,Tenure-Track,FALL 2001,0.67
A&S,Visiting,FALL 2023,1.00
A&S,Visiting,FALL 2022,0.00
A&S,Visiting,FALL 2021,0.00
A&S,Visiting,FALL 2020,1.00
A&S,Visiting,FALL 2019,1.00
A&S,Visiting,FALL 2018,0.00
A&S,Visiting,FALL 2017,0.00
A&S,Visiting,FALL 2016,0.00
A&S,Visiting,FALL 2015,1.00
A&S,Visiting,FALL 2014,1.00
A&S,Visiting,FALL 2013,2.00
A&S,Visiting,FALL 2012,3.00
A&S,Visiting,FALL 2011,3.00
A&S,Visiting,FALL 2010,1.00
A&S,Visiting,FALL 2009,1.00
A&S,Visiting,FALL 2008,2.33
A&S,Visiting,FALL 2007,1.00
A&S,Visiting,FALL 2006,2.00
A&S,Visiting,FALL 2005,1.00
A&S,Visiting,FALL 2004,1.00
A&S,Visiting,FALL 2003,2.00
A&S,Visiting,FALL 2002,1.00
A&S,Visiting,FALL 2001,0.00
A&S,Adjunct,FALL 2023,2.00
A&S,Adjunct,FALL 2022,1.33
A&S,Adjunct,FALL 2021,1.00
A&S,Adjunct,FALL 2020,1.00
A&S,Adjunct,FALL 2019,0.00
