Academic Year,Category,Subcategory,Full Time,Part Time
2024-25,,New High School Graduates,343,0
2023-24,,New High School Graduates,344,0
2022-23,,New High School Graduates,403,0
2021-22,,New High School Graduates,451,0
2020-21,,New High School Graduates,466,2
2019-20,,New High School Graduates,401,0
2018-19,,New High School Graduates,417,0
2017-18,,New High School Graduates,503,0
2016-17,,New High School Graduates,394,0
2015-16,,New High School Graduates,444,0
2014-15,,New High School Graduates,352,0
2013-14,,New High School Graduates,340,0
2012-13,,New High School Graduates,354,0
2011-12,,New High School Graduates,376,0
2010-11,,New High School Graduates,380,0
2009-10,,New High School Graduates,429,0
2008-09,,New High School Graduates,480,0
2007-08,,New High School Graduates,498,4
2006-07,,New High School Graduates,478,0
2005-06,,New High School Graduates,569,3
2004-05,,New High School Graduates,553,0
2003-04,,New High School Graduates,486,1
2002-03,,New High School Graduates,521,0
2024-25,,New Transfer Students,10,0
2023-24,,New Transfer Students,11,0
2022-23,,New Transfer Students,13,0
2021-22,,New Transfer Students,12,0
2020-21,,New Transfer Students,18,0
2019-20,,New Transfer Students,5,0
2018-19,,New Transfer Students,7,0
2017-18,,New Transfer Students,16,0
2016-17,,New Transfer Students,25,0
2015-16,,New Transfer Students,15,0
2014-15,,New Transfer Students,14,0
2013-14,,New Transfer Students,8,0
2012-13,,New Transfer Students,8,0
2011-12,,New Transfer Students,20,0
2010-11,,New Transfer Students,6,0
2009-10,,New Transfer Students,15,0
2008-09,,New Transfer Students,2,0
2007-08,,New Transfer Students,13,0
2006-07,,New Transfer Students,10,0
2005-06,,New Transfer Students,7,0
2004-05,,New Transfer Students,10,0
2003-04,,New Transfer Students,11,0
2002-03,,New Transfer Students,5,1
2024-25,,Returning On-Campus Students,15,0
2023-24,,Returning On-Campus Students,21,0
2022-23,,Returning On-Campus Students,28,0
2021-22,,Returning On-Campus Students,46,2
2020-21,,Returning On-Campus Students,22,0
2019-20,,Returning On-Campus Students,25,1
2018-19,,Returning On-Campus Students,26,0
2017-18,,Returning On-Campus Students,12,0
2016-17,,Returning On-Campus Students,17,0
2015-16,,Returning On-Campus Students,3,0
2014-15,,Returning On-Campus Students,3,0
2013-14,,Returning On-Campus Students,11,1
2012-13,,Returning On-Campus Students,11,3
2011-12,,Returning On-Campus Students,3,2
2010-11,,Returning On-Campus Students,11,1
2009-10,,Returning On-Campus Students,8,1
2008-09,,Returning On-Campus Students,10,0
2007-08,,Returning On-Campus Students,13,0
2006-07,,Returning On-Campus Students,7,3
2005-06,,Returning On-Campus Students,1,0
2004-05,,Returning On-Campus Students,8,0
2003-04,,Returning On-Campus Students,6,0
2002-03,,Returning On-Campus Students,12,2
2024-25,,TOTALS,368,0
2023-24,,TOTALS,376,0
2022-23,,TOTALS,444,0
2021-22,,TOTALS,509,2
2020-21,,TOTALS,506,2
2019-20,,TOTALS,431,1
2018-19,,TOTALS,450,0
2017-18,,TOTALS,531,0
2016-17,,TOTALS,436,0
2015-16,,TOTALS,462,0
2014-15,,TOTALS,369,0
2013-14,,TOTALS,359,1
2012-13,,TOTALS,373,3
2011-12,,TOTALS,399,2
2010-11,,TOTALS,397,1
2009-10,,TOTALS,452,1
2008-09,,TOTALS,492,0
2007-08,,TOTALS,524,4
2006-07,,TOTALS,495,3
2005-06,,TOTALS,577,3
2004-05,,TOTALS,571,0
2003-04,,TOTALS,503,1
2002-03,,TOTALS,538,3
2024-25,,New High School Grads (w/ 6+ units),9,0
2023-24,,New High School Grads (w/ 6+ units),13,0
2022-23,,New High School Grads (w/ 6+ units),11,0
2021-22,,New High School Grads (w/ 6+ units),10,0
2020-21,,New High School Grads (w/ 6+ units),7,0
2019-20,,New High School Grads (w/ 6+ units),11,0
2018-19,,New High School Grads (w/ 6+ units),10,0
2017-18,,New High School Grads (w/ 6+ units),11,0
2016-17,,New High School Grads (w/ 6+ units),8,0
2015-16,,New High School Grads (w/ 6+ units),10,0
2014-15,,New High School Grads (w/ 6+ units),4,0
2013-14,,New High School Grads (w/ 6+ units),5,0
2012-13,,New High School Grads (w/ 6+ units),5,0
2011-12,,New High School Grads (w/ 6+ units),9,0
2010-11,,New High School Grads (w/ 6+ units),4,0
2009-10,,New High School Grads (w/ 6+ units),5,0
2008-09,,New High School Grads (w/ 6+ units),5,0
2007-08,,New High School Grads (w/ 6+ units),2,0
2006-07,,New High School Grads (w/ 6+ units),2,0
2005-06,,New High School Grads (w/ 6+ units),2,0
