academicYear,primaryCategory,secondaryCategory,value,dimension,semester
2024-25,New High School Graduates,Full-Time,158,Gender,Fall
2024-25,New High School Graduates,Part-Time,0,Gender,Fall
2023-24,New High School Graduates,Full-Time,179,Gender,Fall
2023-24,New High School Graduates,Part-Time,0,Gender,Fall
2022-23,New High School Graduates,Full-Time,206,Gender,Fall
2022-23,New High School Graduates,Part-Time,0,Gender,Fall
2021-22,New High School Graduates,Full-Time,248,Gender,Fall
2021-22,New High School Graduates,Part-Time,0,Gender,Fall
2020-21,New High School Graduates,Full-Time,232,Gender,Fall
2020-21,New High School Graduates,Part-Time,1,Gender,Fall
2019-20,New High School Graduates,Full-Time,192,Gender,Fall
2019-20,New High School Graduates,Part-Time,0,Gender,Fall
2018-19,New High School Graduates,Full-Time,219,Gender,Fall
2018-19,New High School Graduates,Part-Time,0,Gender,Fall
2017-18,New High School Graduates,Full-Time,257,Gender,Fall
2017-18,New High School Graduates,Part-Time,0,Gender,Fall
2016-17,New High School Graduates,Full-Time,203,Gender,Fall
2016-17,New High School Graduates,Part-Time,0,Gender,Fall
2015-16,New High School Graduates,Full-Time,214,Gender,Fall
2015-16,New High School Graduates,Part-Time,0,Gender,Fall
2014-15,New High School Graduates,Full-Time,179,Gender,Fall
2014-15,New High School Graduates,Part-Time,0,Gender,Fall
2013-14,New High School Graduates,Full-Time,179,Gender,Fall
2013-14,New High School Graduates,Part-Time,0,Gender,Fall
2012-13,New High School Graduates,Full-Time,161,Gender,Fall
2012-13,New High School Graduates,Part-Time,0,Gender,Fall
2011-12,New High School Graduates,Full-Time,165,Gender,Fall
2011-12,New High School Graduates,Part-Time,0,Gender,Fall
2010-11,New High School Graduates,Full-Time,196,Gender,Fall
2010-11,New High School Graduates,Part-Time,0,Gender,Fall
2009-10,New High School Graduates,Full-Time,216,Gender,Fall
2009-10,New High School Graduates,Part-Time,1,Gender,Fall
2008-09,New High School Graduates,Full-Time,237,Gender,Fall
2008-09,New High School Graduates,Part-Time,0,Gender,Fall
2007-08,New High School Graduates,Full-Time,259,Gender,Fall
2007-08,New High School Graduates,Part-Time,3,Gender,Fall
2006-07,New High School Graduates,Full-Time,260,Gender,Fall
2006-07,New High School Graduates,Part-Time,0,Gender,Fall
2005-06,New High School Graduates,Full-Time,315,Gender,Fall
2005-06,New High School Graduates,Part-Time,3,Gender,Fall
2004-05,New High School Graduates,Full-Time,307,Gender,Fall
2004-05,New High School Graduates,Part-Time,0,Gender,Fall
2003-04,New High School Graduates,Full-Time,262,Gender,Fall
2003-04,New High School Graduates,Part-Time,1,Gender,Fall
2002-03,New High School Graduates,Full-Time,289,Gender,Fall
2024-25,New Transfer Students,Full-Time,4,Gender,Fall
2024-25,New Transfer Students,Part-Time,0,Gender,Fall
2023-24,New Transfer Students,Full-Time,3,Gender,Fall
2023-24,New Transfer Students,Part-Time,0,Gender,Fall
2022-23,New Transfer Students,Full-Time,4,Gender,Fall
2022-23,New Transfer Students,Part-Time,0,Gender,Fall
2021-22,New Transfer Students,Full-Time,8,Gender,Fall
2021-22,New Transfer Students,Part-Time,0,Gender,Fall
2020-21,New Transfer Students,Full-Time,7,Gender,Fall
2020-21,New Transfer Students,Part-Time,0,Gender,Fall
2019-20,New Transfer Students,Full-Time,2,Gender,Fall
2019-20,New Transfer Students,Part-Time,0,Gender,Fall
2018-19,New Transfer Students,Full-Time,4,Gender,Fall
2018-19,New Transfer Students,Part-Time,0,Gender,Fall
2017-18,New Transfer Students,Full-Time,5,Gender,Fall
2017-18,New Transfer Students,Part-Time,0,Gender,Fall
2016-17,New Transfer Students,Full-Time,9,Gender,Fall
2016-17,New Transfer Students,Part-Time,0,Gender,Fall
2015-16,New Transfer Students,Full-Time,5,Gender,Fall
2015-16,New Transfer Students,Part-Time,0,Gender,Fall
2014-15,New Transfer Students,Full-Time,2,Gender,Fall
2014-15,New Transfer Students,Part-Time,0,Gender,Fall
2013-14,New Transfer Students,Full-Time,3,Gender,Fall
2013-14,New Transfer Students,Part-Time,0,Gender,Fall
2012-13,New Transfer Students,Full-Time,0,Gender,Fall
2012-13,New Transfer Students,Part-Time,0,Gender,Fall
2011-12,New Transfer Students,Full-Time,6,Gender,Fall
2011-12,New Transfer Students,Part-Time,0,Gender,Fall
2010-11,New Transfer Students,Full-Time,0,Gender,Fall
2010-11,New Transfer Students,Part-Time,0,Gender,Fall
2009-10,New Transfer Students,Full-Time,4,Gender,Fall
2009-10,New Transfer Students,Part-Time,0,Gender,Fall
2008-09,New Transfer Students,Full-Time,1,Gender,Fall
2008-09,New Transfer Students,Part-Time,0,Gender,Fall
2007-08,New Transfer Students,Full-Time,6,Gender,Fall
2007-08,New Transfer Students,Part-Time,0,Gender,Fall
2006-07,New Transfer Students,Full-Time,4,Gender,Fall
2006-07,New Transfer Students,Part-Time,0,Gender,Fall
2005-06,New Transfer Students,Full-Time,3,Gender,Fall
2005-06,New Transfer Students,Part-Time,0,Gender,Fall
2004-05,New Transfer Students,Full-Time,4,Gender,Fall
2004-05,New Transfer Students,Part-Time,0,Gender,Fall
2003-04,New Transfer Students,Full-Time,3,Gender,Fall
2003-04,New Transfer Students,Part-Time,0,Gender,Fall
2002-03,New Transfer Students,Full-Time,2,Gender,Fall
2024-25,Returning On-Campus Students,Full-Time,9,Gender,Fall
2024-25,Returning On-Campus Students,Part-Time,0,Gender,Fall
2023-24,Returning On-Campus Students,Full-Time,10,Gender,Fall
2023-24,Returning On-Campus Students,Part-Time,0,Gender,Fall
2022-23,Returning On-Campus Students,Full-Time,15,Gender,Fall
2022-23,Returning On-Campus Students,Part-Time,0,Gender,Fall
2021-22,Returning On-Campus Students,Full-Time,20,Gender,Fall
2021-22,Returning On-Campus Students,Part-Time,2,Gender,Fall
2020-21,Returning On-Campus Students,Full-Time,8,Gender,Fall
2020-21,Returning On-Campus Students,Part-Time,0,Gender,Fall
2019-20,Returning On-Campus Students,Full-Time,11,Gender,Fall
