FALL HEADCOUNTS SINCE 1864,
,
YEAR,HEADCOUNT
1864,236
1865,292
1866,332
1867,263
1868,258
1869,
1870,178
1871,216
1872,222
1873,201
1874,202
1875,186
1876,185
1877,205
1878,233
1879,248
1880,217
1881,199
1882,262
1883,340
1884,325
1885,365
1886,418
1887,451
1888,460
1889,496
1890,529
1891,610
1892,627
1893,629
1894,
1895,589
1896,477
1897,427
1898,452
1899,475
1900,490
1901,425
1902,442
1903,464
1904,
1905,483
1906,450
1907,460
1908,452
1909,499
1910,500
1911,512
1912,516
1913,524
1914,505
1915,535
1916,518
1917,413
1918,561
1919,489
1920,530
1921,599
1922,636
1923,727
1924,713
1925,718
1926,765
1927,884
1928,912
1929,885
1930,867
1931,752
1932,708
1933,692
1934,692
1935,754
1936,786
1937,821
1938,860
1939,846
1940,879
1941,803
1942,807
1943,534
1944,651
1945,812
1946,1219
1947,1259
1948,1354
1949,1332
1950,1235
1951,1010
1952,983
1953,1074
1954,1196
1955,1260
1956,1283
1957,1349
1958,1387
1959,1366
1960,1377
1961,1429
1962,1408
1963,1356
1964,1541
1965,1560
1966,1657
1967,1716
1968,1833
1969,1870
1970,1864
1971,1809
1972,1818
1973,1869
1974,1835
1975,1817
1976,1743
1977,1748
1978,1843
1979,1848
1980,1936
1981,1939
1982,1803
1983,1727
1984,1635
1985,1638
1986,1637
1987,1682
1988,1721
1989,1714
1990,1670
1991,1679
1992,1677
1993,1701
1994,1668
1995,1590
1996,1558
1997,1559
1998,1598
1999,1526
2000,1521
2001,1548
2002,1658
2003,1732
2004,1867
2005,1979
2006,1941
2007,1938
2008,1860
2009,1738
2010,1602
2011,1514
2012,1382
2013,1307
2014,1268
2015,1376
2016,1418
2017,1568
2018,1533
2019,1475
2020,1506
2021,1523
2022,1456
2023,1354
2024,1308
