MAJOR DATA SPRING 2006 - SPRING 2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MAJOR,DEPT,202310,202210,202110,202010,201910,201810,201710,201610,201510,201410,201310,201210,201110,201010,200910,200810,200710,200610,Total,3-Year Avg.
Anthropology,A&S,16,15,13,20,29,23,16,13,9,13,17,20,18,19,27,24,23,17,200,24
Anthropology & Sociology,A&S,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,0,6,0
Anthropology/Sociology,A&S,12,9,5,3,6,9,9,9,11,13,10,18,18,17,8,9,19,23,155,6
Sociology,A&S,18,24,22,28,36,39,36,24,28,23,23,23,25,19,15,21,32,28,261,34
Art,ART,26,28,19,16,16,25,18,23,24,24,22,20,23,20,18,20,33,35,262,19
Art History,ART,5,6,6,6,5,6,7,7,8,9,7,10,11,15,11,14,17,14,123,6
Art/Bach Fine Arts,ART,1,,1,2,1,1,2,2,0,0,1,3,2,4,3,3,3,5,26,1
Biology,BIOL,140,120,129,129,137,146,125,148,138,162,147,154,175,171,198,200,207,194,1894,137
Biology: Elementary Educ,BIOL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Biology: Secondary Educ,BIOL,,,2,2,2,3,1,2,1,3,3,6,4,2,2,3,5,3,34,2
Business & Organizations,BUS,,,44,43,7,20,51,97,93,88,18,,,,,,,,296,23
Biochemistry,CHEM,60,51,40,30,35,41,35,37,35,46,65,,,,,,,,183,35
Chemistry,CHEM,11,6,6,9,16,23,21,25,18,30,23,30,26,20,29,18,17,18,254,16
Chemistry - Biochemistry,CHEM,,,,,,0,0,0,0,0,0,75,83,62,66,56,61,39,442,0
Chemistry - ACS Certified,CHEM,1,,,,,,,,,,,,,,,,,,,
Chemistry: Secondary Educ,CHEM,1,,,,,0,0,1,1,0,0,0,0,0,0,0,0,3,5,0
Communication Studies General,COMM,49,27,53,65,83,74,68,55,48,54,54,48,45,39,36,41,10,0,430,74
Communication-Interpersonal,COMM,,,,,,0,0,2,6,6,5,3,4,4,9,3,1,0,43,0
Communication-Mass Media,COMM,,,,,,0,4,13,28,32,23,19,22,20,24,14,5,0,200,0
Communication-Organizational,COMM,,,,,,0,2,7,6,5,3,6,10,8,8,5,1,0,59,0
Communication-Pro.Comm.& Prod.,COMM,,2,1,1,2,4,5,7,4,5,2,,,,,,,,18,2
Integrated Marketing Comm,COMM,25,29,23,13,,,,,,,,,,,,,,,,4
Sports Communication,COMM,17,4,,,,,,,,,,,,,,,,,,
Speech Communication & Theatre,COMM/SPCH,,,,,,0,0,0,0,0,0,0,0,1,5,24,84,93,207,0
Speech: Elementary Educ,COMM/SPCH,,,,,,0,0,0,0,0,0,0,0,1,1,13,6,7,28,0
Economics & Management,E&M,32,25,44,60,62,52,53,57,54,51,62,82,135,194,285,278,287,306,1791,58
E&M emphasis Accounting,E&M,,,,,,0,0,1,2,16,42,50,41,16,,,,,168,0
E&M emphasis Economics,E&M,,,,,,1,3,1,4,5,5,5,2,0,,,,,22,0
E&M emphasis Finance,E&M,,,,,,0,0,0,1,9,21,14,19,2,,,,,66,0
E&M emphasis General Business,E&M,,,,,4,7,8,9,8,6,9,18,9,1,,,,,60,4
E&M emphasis Human Resources,E&M,4,4,5,4,5,2,1,3,2,1,1,3,2,2,,,,,14,4
E&M emphasis International Bus,E&M,5,6,8,4,2,4,6,4,1,5,3,2,,,,,,,15,3
Marketing Management,E&M,33,23,20,9,,,,,,,,,,,,,,,,3
Accounting-Corporate Emphasis,E&M,2,3,4,3,1,3,5,3,3,6,,,,,,,,,12,2
Accounting-C.P.A. Emphasis,E&M,20,19,32,38,59,49,52,44,46,36,,,,,,,,,126,49
Business  ,E&M,66,49,44,,,26,13,,,,,,,,,,,,,9
Economics  ,E&M,7,2,,,,,,,,,,,,,,,,,,
Finance,E&M,49,51,46,36,47,51,49,50,33,20,,,,,,,,,103,45
English,ENGL,21,21,29,27,28,26,27,17,17,25,32,33,42,45,70,89,87,93,550,27
English - Professional Writing,ENGL,2,2,7,7,12,10,9,10,9,6,3,,,,,,,,28,10
English  With Creative Writing,ENGL,17,16,18,17,22,17,18,25,24,26,23,25,23,28,39,42,34,31,320,19
English: Elementary Educ,ENGL,,,,,,0,0,0,0,6,12,13,9,8,9,12,17,21,107,0
