DEPT,APPT,"FALL
2023","FALL
2022","FALL
2021","FALL
2020","FALL
2019","FALL
2018","FALL
2017","FALL
2016","FALL
2015","FALL
2014","FALL
2013","FALL
2012","FALL
2011","FALL
2010","FALL
2009","FALL
2008","FALL
2007","FALL
2006","FALL
2005","FALL
2004","FALL
2003","FALL
2002","FALL
2001"
A&S,Tenured,3.00,2.00,3.16,2.00,2.00,3.00,2.00,2.00,2.00,0.66,1.00,2.00,0.66,3.66,3.00,2.00,2.83,2.66,2.67,2.67,3.33,2.33,3.67
,Tenure-Track,0.00,1.67,3.08,3.33,3.00,3.00,3.00,3.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.66,1.00,1.67,1.00,0.00,1.00,0.67
,Visiting,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,2.00,3.00,3.00,1.00,1.00,2.33,1.00,2.00,1.00,1.00,2.00,1.00,0.00
,Adjunct,2.00,1.33,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.33,0.33,1.00
A&S Total,,6.00,5.00,7.24,7.33,6.00,6.00,5.00,5.00,5.00,4.66,5.00,6.00,4.66,5.66,5.00,5.33,5.49,5.66,5.33,5.67,5.67,4.67,5.33
,,,,,,,,,,,,,,,,,,,,,,,,
ART*,Tenured,2.00,0.00,1.00,1.00,3.00,3.33,3.08,3.00,2.00,2.66,1.83,3.00,2.66,1.83,3.83,3.00,2.16,2.00,3.83,4.00,5.17,4.33,4.50
,Tenure-Track,1.67,2.00,3.16,2.66,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.66,1.00,1.33,3.00,2.66,3.00,2.00,2.00,0.00,0.00,0.00
,Visiting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,1.00,0.00,1.33,2.00,2.00
,Adjunct,0.00,1.33,1.00,0.00,0.00,0.00,0.00,0.33,0.66,0.00,0.00,0.00,0.33,1.00,0.33,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.17
ART Total,,3.67,3.33,5.16,3.66,4.00,4.33,4.08,4.33,3.66,3.66,3.83,4.00,3.65,3.83,5.49,7.00,6.15,7.00,6.83,6.33,6.50,6.33,6.67
,,,,,,,,,,,,,,," *BEGINNING FALL 2010, ART AND ARTH WILL BE LISTED SEPARATELY",,,,,,,,,
ARTH*,Tenured,1.17,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.33,1.00,1.33,,,,,,,,,
,Tenure-Track,1.00,1.00,1.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
,Visiting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.66,0.00,,,,,,,,,
,Adjunct,0.00,0.00,0.66,0.00,0.00,0.00,0.66,0.00,0.00,0.66,0.66,0.00,0.00,0.33,,,,,,,,,
ART Total,,2.17,2.00,1.66,2.00,3.00,2.00,1.66,1.00,1.00,1.66,1.66,1.33,1.66,1.66,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
BIOL,Tenured,6.33,6.00,5.33,6.50,6.75,7.16,7.50,6.00,6.66,6.16,7.16,5.16,5.33,6.16,5.66,6.33,4.16,6.66,5.33,5.17,5.17,3.67,5.00
,Tenure-Track,0.00,3.00,3.00,2.50,2.08,2.00,2.00,2.00,1.00,0.67,1.00,3.00,2.50,3.00,2.66,2.50,1.50,2.83,3.67,2.83,3.00,2.67,1.83
,Visiting,2.00,0.00,0.00,0.33,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.50,0.00,0.00,0.00,0.66,1.00,0.83,0.00,0.00,0.00,1.00,1.00
,Adjunct,0.00,1.00,1.00,0.00,0.00,0.00,0.33,0.33,0.50,0.50,0.50,0.50,0.50,1.16,0.83,1.00,2.50,0.83,0.83,0.83,0.50,0.67,0.67
BIOL Total,,8.33,10.00,9.33,9.33,8.83,9.16,9.83,9.33,9.16,8.33,8.66,9.16,8.33,10.32,9.15,10.49,9.16,11.15,9.83,8.83,8.67,8.00,8.50
,,,,,,,,,,,,,,,,,,,,,,,,
CHEM,Tenured,5.17,4.33,7.16,7.00,7.50,5.33,5.33,4.00,5.41,5.67,5.00,5.50,5.66,4.16,2.83,3.83,5.25,4.75,3.67,4.08,3.75,3.67,5.17
